itemID,templateCreatedWith,templateEditedWith,templateDataVersion,sectionShadowUsed,sectionTextUsed,sectionBackground,numSections,flickr,google,arcgis,unsplash,linkedImage,youtube,vimeo,numMaps,uniqueMaps,numWebScenes,uniqueWebScenes,numImages,numVideos
ec66c4b9b7264dbb844ad8e583431791,1.1.3,1.1.3,1.0.0,true,light,,6,0,0,1,0,1,0,0,0,0,0,0,32,0
771fec9da927486db694395de79ddbe5,1.1.3,1.2.0,1.0.0,true,light,,10,0,0,1,0,0,0,0,0,0,0,0,11,0
cb7f15df4a474373aed70b4761686c3d,1.1.3,1.1.3,1.0.0,true,dark,,2,0,0,0,0,1,0,0,0,0,0,0,6,0
0f79fc7fc0cc481588e517d247c21a90,1.1.3,1.2.0,1.0.0,false,light,dark,25,0,0,1,0,0,0,0,3,3,0,0,14,0
4f546e77982544c38d25924054bf6cc2,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,1,0,0,0,0,0,0,0,0,19,0
5d53d21feb2848e0bd152e07c68db783,1.1.3,1.3.2,1.0.0,false,light,dark,13,0,0,1,0,0,0,0,20,3,0,0,11,0
e06cdf85648e4922b6d8ab4ed1c44e29,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,14,0,0,1,0,0,0,0,4,3,0,0,12,0
56238e59ed91488382761c9cf33dbcfc,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,5,1,0,0,0,1,0,0,0,0,0,0,4,0
1648b51acdc546b185b5dec63c4522d1,1.1.3,1.1.3,1.0.0,true,light,,4,0,0,1,0,0,0,0,0,0,0,0,2,0
73a5e65b0e9346218aaf44b0895fe165,1.1.3,1.7.2,1.0.0,true,dark,,17,0,0,1,0,0,0,0,8,2,0,0,29,0
672475d1fd63406cac5d22b27c59cf96,1.1.3,1.1.3,1.0.0,false,dark,light,3,0,0,1,1,1,0,0,1,1,0,0,5,0
52b3221b123445ac95e4e2b69256133e,1.1.3,1.1.3,1.0.0,false,light,dark,4,0,0,1,1,1,0,0,0,0,0,0,2,0
32a71fb900fb476abcbab9f64f8c58bf,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,26,1,0,1,0,0,0,0,0,0,0,0,35,0
3d47eed2f5b04ce0ac9352ef7afcdf8b,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,9,0,0,1,0,0,0,0,9,1,0,0,10,0
b18908c440a342c7985d1290be5a2b59,1.1.3,1.3.3,1.0.0,true,light,,8,1,0,1,0,0,0,0,0,0,0,0,14,0
9918c3dd44df4a2dbda9e4fdcbb187da,1.1.3,1.2.0,1.0.0,false,dark,light,18,0,0,1,0,0,0,1,7,3,0,0,97,1
299978ea52dd4e4daead0b98fc770f85,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,0,0,1,0
211522f36bd448d9a79c1d0bbd0df826,1.1.3,1.2.0,1.0.0,true,light,,21,0,0,0,0,1,0,0,0,0,0,0,14,0
191a532e284f4c29815657668d6385bc,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,5,0,0,1,0,0,0,0,0,0,0,0,8,0
760f6bbd956144dfae9d6908b8c76e71,1.1.3,1.1.3,1.0.0,true,dark,,7,0,0,1,0,0,1,0,0,0,0,0,6,1
08ab918e099e45a897424836adac5bbf,1.1.3,1.2.0,1.0.0,true,light,,18,1,0,0,0,1,0,0,0,0,0,0,29,0
384ffdbf573942fb83fd3f6590ca2170,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,5,1,0,1,0,0,0,0,0,0,0,0,13,0
9a3cdb3432904736963f2c309e657589,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,3,0,0,1,0,0,0,0,0,0,0,0,7,0
2c7140afcf174d97a8e6eb0de3cf4c0f,1.1.3,1.1.3,1.0.0,false,light,dark,4,1,0,0,0,0,0,0,1,1,0,0,1,0
2d8c5abe4dd04c8c9bce8dfa49ea03fc,1.1.3,1.2.0,1.0.0,true,light,,6,0,0,0,0,1,0,0,0,0,0,0,13,0
e1398d8f13eb4033a4f37ff6b295a01d,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,8,0,0,0,0,1,1,0,0,0,0,0,8,1
6367874d90804cd49ac4097ef12527fa,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,4,0,0,0,0,1,0,0,0,0,0,0,13,0
827e974672874837a7ed17accff62b29,1.1.3,1.3.3,1.0.0,true,light,,8,1,0,0,1,1,0,0,1,1,0,0,4,0
acc30f70074a44459a9b8f22be1926a2,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,5,0,0,0,0,1,0,0,0,0,0,0,3,0
755d0b88edd14749aa53c68a79946ea1,1.1.3,1.3.3,1.0.0,false,dark,light,17,0,0,0,0,1,0,0,14,2,0,0,9,0
809d047254274df1938be51c764b3ac5,1.1.3,1.2.0,1.0.0,true,dark,,14,0,0,1,0,0,0,0,0,0,0,0,34,0
dde0ca71c34b47f8bde66860f67a712c,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,4,0,0,0,0,1,0,0,0,0,0,0,3,0
fc12808013ae49d29fd0aa3cb5129530,1.1.3,1.1.3,1.0.0,false,light,dark,3,0,0,0,0,1,0,0,16,10,0,0,17,0
318afa0b200e44e99b7cf487bb780969,1.1.3,1.2.0,1.0.0,true,light,,3,0,0,1,0,1,0,0,1,1,0,0,2,0
332d385c0f0d497793a16c928dd0e9e9,1.1.3,1.1.3,1.0.0,false,dark,light,12,0,0,1,0,1,0,0,6,1,0,0,25,0
02017b6487524f239d7ad58510bf716e,1.1.3,1.1.3,1.0.0,true,light,,2,1,0,1,0,0,0,0,0,0,0,0,3,0
837036df84804825b478415e95fc2a57,1.1.3,1.2.0,1.0.0,true,light,,12,0,0,1,0,0,0,0,11,9,0,0,10,0
1693d76bcd7544d09a3c4f90f795c81d,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,0,0,2,0
4bd277b68d1f44ae8cfeaa843db5906b,1.1.3,1.1.3,1.0.0,true,light,,2,1,0,0,0,0,0,0,0,0,0,0,2,0
ab1422d48c8f494e827f0d62644f87cc,1.1.3,1.1.3,1.0.0,FALSE,FALSE,FALSE,2,1,0,0,0,0,0,0,0,0,0,0,2,0
bff8485734ad4088a7598a0cd5aa0e08,1.1.3,1.5.1,1.0.0,false,dark,light,21,0,0,1,0,0,0,0,0,0,0,0,17,0
